symbol,as_of,prior_bars,available,unavailable_reason,eligible,side,tier,signal,score,direction,analog_direction,probability_up,edge_points,evidence,agreement,grade,brier_skill,expected_move,adverse_move,reward_risk,typical,band_low,band_high,plan_action,stop_pct,target_pct,entry_date,entry_price,exit_date,exit_price,fwd_return,fwd_close_to_close,min_low_pct,max_high_pct,spy_fwd_return,runtime_s
SCHL,2019-05-10,6854,1,,1,long,speculative,WEAK BUY,41.0,bullish,bullish,68,8.7,87,100,mixed,0.0,3.33,10.66,0.31,3.33,-10.66,12.43,consider_buying,-7.0,9.4,2019-05-13,32.982098,2019-06-11,28.149843,-14.6511,-15.7398,-18.9147,0.8269,2.2944,7.66
SCHL,2019-05-13,6855,1,,0,,,,,neutral,neutral,53,-1.5,65,71,mixed,-2.6,,,,0.79,-12.36,13.92,wait,,,2019-05-14,32.27473,2019-06-12,28.124268,-12.8598,-12.9517,-17.1376,0.977,2.2696,7.67
SCHL,2022-06-06,7628,1,,0,,,,,neutral,neutral,57,3.2,70,100,mixed,-2.1,,,,3.1,-12.93,14.68,wait,,,2022-06-07,33.027175,2022-07-07,31.336481,-5.1191,-5.8919,-6.8984,0.8486,-4.2709,7.58
SCHL,2022-06-07,7629,1,,0,,,,,neutral,neutral,51,-3.6,72,100,mixed,-3.4,,,,0.19,-8.37,12.94,wait,,,2022-06-08,32.93677,2022-07-08,30.821154,-6.4233,-7.2885,-6.7527,1.1254,-5.6969,7.58
SCHL,2022-06-08,7630,1,,0,,,,,neutral,neutral,58,1.9,61,100,weak,-7.1,,,,1.02,-9.4,13.63,wait,,,2022-06-09,32.692656,2022-07-11,30.784986,-5.8352,-6.0949,-6.9137,1.1892,-5.7288,7.81
SCHL,2022-06-09,7631,1,,0,long,speculative,WEAK BUY,24.2,bullish,bullish,65,8.5,81,100,weak,-6.1,1.02,12.92,0.08,1.02,-12.92,14.7,wait,,,2022-06-10,32.014573,2022-07-12,30.89348,-3.5018,-4.6063,-4.9421,3.3324,-3.1415,8.05
SCHL,2022-06-10,7632,1,,1,long,speculative,WEAK BUY,46.7,bullish,bullish,71,14.5,91,100,weak,-6.1,4.39,9.4,0.47,4.39,-9.4,15.89,wait,,,2022-06-13,31.770466,2022-07-13,30.748812,-3.2157,-4.5468,-4.2117,4.1263,0.1623,8.04
SCHL,2022-06-13,7633,1,,1,long,speculative,WEAK BUY,46.9,bullish,bullish,72,12.8,95,100,mixed,-0.6,4.39,13.61,0.32,4.39,-13.61,19.22,consider_buying,-7.4,10.4,2022-06-14,31.065255,2022-07-14,30.77594,-0.9313,-0.9025,-2.9104,6.4901,0.7145,8.24
SCHL,2025-03-10,8319,1,,0,,,,,neutral,neutral,52,-3.9,73,71,mixed,-3.1,,,,0.68,-8.58,14.88,wait,,,2025-03-11,20.656829,2025-04-08,15.921767,-22.9225,-23.0662,-24.183,2.0075,-10.9808,8.33
SCHL,2025-03-11,8320,1,,0,,,,,neutral,neutral,53,-0.6,63,71,mixed,-0.3,,,,0.68,-9.55,13.16,wait,,,2025-03-12,19.952838,2025-04-09,16.645044,-16.5781,-17.3767,-21.508,5.6066,-2.1167,7.83
SCHL,2025-03-12,8321,1,,0,,,,,neutral,neutral,55,3.1,70,100,mixed,-1.3,,,,0.99,-12.02,18.51,wait,,,2025-03-13,18.371269,2025-04-10,15.9507,-13.1758,-13.0846,-14.7507,14.6982,-5.7892,7.58
SCHL,2025-03-13,8322,1,,1,long,speculative,WEAK BUY,35.3,bullish,bullish,58,5.3,77,100,mixed,-1.3,3.46,9.39,0.37,3.46,-9.39,18.51,wait,,,2025-03-14,19.451363,2025-04-11,15.806041,-18.7407,-18.2544,-19.4844,8.3292,-3.6978,7.61
SCHL,2025-03-14,8323,1,,1,long,speculative,WEAK BUY,40.3,bullish,bullish,60,7.7,84,100,mixed,-0.7,3.5,8.83,0.4,3.5,-8.83,20.81,wait,,,2025-03-17,18.699154,2025-04-14,15.526374,-16.9675,-17.0958,-18.4631,12.6869,-3.9177,7.68
SCHL,2025-03-17,8324,1,,1,long,speculative,WEAK BUY,39.7,bullish,bullish,60,6.9,81,100,mixed,-0.9,4.36,10.03,0.43,4.36,-10.03,19.71,consider_buying,-8.7,15.1,2025-03-18,18.92096,2025-04-15,15.59388,-17.5841,-17.8771,-19.419,11.3659,-4.5278,7.58
RCEL,2019-05-06,1755,1,,1,short,speculative,WEAK SHORT,38.0,bearish,bearish,27,-10.6,76,100,mixed,-2.5,4.52,36.67,0.12,-4.52,-45.1,36.67,avoid_or_exit,,,2019-05-07,27.549999,2019-06-05,26.5,-3.8112,-3.1079,-5.8076,30.127,-2.478,1.73
RCEL,2019-05-07,1756,1,,1,short,speculative,WEAK SHORT,42.3,bearish,bearish,29,-8.6,70,100,mixed,-2.5,7.78,47.1,0.17,-7.78,-49.61,47.1,avoid_or_exit,,,2019-05-08,29.35,2019-06-06,25.450001,-13.2879,-4.8598,-14.8211,22.1465,-0.9495,1.73
RCEL,2019-05-08,1757,1,,0,,,,,neutral,neutral,42,4.8,59,100,mixed,-2.7,,,,-3.13,-43.82,55.41,wait,,,2019-05-09,28.6,2019-06-07,24.5,-14.3357,-14.6341,-18.007,25.3496,0.8485,1.73
RCEL,2019-05-09,1758,1,,0,,,,,neutral,neutral,38,1.1,48,100,mixed,-2.7,,,,-5.93,-44.4,55.56,wait,,,2019-05-10,28.5,2019-06-10,25.1,-11.9298,-12.9983,-17.7193,25.7895,1.1729,1.73
RCEL,2019-05-10,1759,1,,0,,,,,neutral,neutral,34,-3.8,51,100,weak,-5.9,,,,-5.71,-44.02,52.76,wait,,,2019-05-13,27.85,2019-06-11,25.15,-9.6948,-12.5217,-15.7989,28.7253,2.2944,1.73
RCEL,2019-05-13,1760,1,,0,,,,,neutral,neutral,36,-1.4,44,100,weak,-5.9,,,,-5.35,-44.4,58.01,wait,,,2019-05-14,29.5,2019-06-12,25.35,-14.0678,-12.4352,-20.5085,21.5254,2.2696,1.73
RCEL,2022-06-06,2533,1,,1,long,speculative,WEAK BUY,32.5,bullish,bullish,51,10.3,80,100,weak,-6.7,3.33,12.35,0.27,3.33,-12.35,19.2,consider_buying,-17.9,23.0,2022-06-07,5.46,2022-07-07,5.84,6.9597,6.3752,-16.3004,11.9048,-4.2709,3.66
RCEL,2022-06-07,2534,1,,0,,,,,neutral,neutral,42,1.4,54,100,weak,-6.2,,,,-3.4,-12.35,19.2,wait,,,2022-06-08,5.76,2022-07-08,6.06,5.2083,5.2083,-20.6597,6.0764,-5.6969,3.77
RCEL,2022-06-08,2535,1,,0,,,,,neutral,neutral,42,2.0,56,100,weak,-6.2,,,,-2.61,-18.31,29.86,wait,,,2022-06-09,5.84,2022-07-11,5.64,-3.4247,-3.7543,-21.7466,4.6233,-5.7288,3.69
RCEL,2022-06-09,2536,1,,0,,,,,neutral,neutral,46,5.9,67,100,weak,-5.7,,,,-0.48,-15.88,27.9,wait,,,2022-06-10,5.68,2022-07-12,5.45,-4.0493,-6.3574,-19.5422,7.5704,-3.1415,3.77
RCEL,2022-06-10,2537,1,,0,,,,,neutral,neutral,42,1.2,51,100,weak,-6.5,,,,-0.8,-12.41,23.88,wait,,,2022-06-13,5.34,2022-07-13,5.64,5.618,1.2567,-14.4195,14.4195,0.1623,3.7
RCEL,2022-06-13,2538,1,,0,,,,,neutral,neutral,47,6.2,65,100,weak,-6.5,,,,0.0,-11.55,28.34,wait,,,2022-06-14,5.44,2022-07-14,5.63,3.4926,3.3028,-15.9926,12.3162,0.7145,3.73
RCEL,2025-03-10,3224,1,,0,,,,,neutral,neutral,42,-2.1,59,100,weak,-7.8,,,,-3.16,-43.0,44.5,wait,,,2025-03-11,8.5,2025-04-08,7.67,-9.7647,-7.8125,-18.8235,15.4118,-10.9808,5.03
RCEL,2025-03-11,3225,1,,1,long,speculative,WEAK BUY,29.3,bullish,bullish,55,10.6,84,100,weak,-7.8,3.33,38.35,0.09,3.33,-38.35,65.39,wait,,,2025-03-12,8.49,2025-04-09,8.71,2.5913,4.0621,-18.7279,15.5477,-2.1167,5.06
RCEL,2025-03-12,3226,1,,0,,,,,neutral,neutral,46,1.7,58,100,weak,-7.8,,,,0.0,-38.02,45.84,wait,,,2025-03-13,8.91,2025-04-10,8.63,-3.1425,-3.8975,-22.5589,10.101,-5.7892,5.05
RCEL,2025-03-13,3227,1,,1,long,speculative,WEAK BUY,26.2,bullish,bullish,53,9.0,79,100,weak,-7.4,3.33,38.35,0.09,3.33,-38.35,71.94,wait,,,2025-03-14,8.38,2025-04-11,8.62,2.864,3.7304,-17.6611,17.0644,-3.6978,5.12
RCEL,2025-03-14,3228,1,,0,long,speculative,WEAK BUY,13.2,bullish,bullish,49,5.0,68,71,weak,-7.5,2.36,41.32,0.06,2.36,-41.32,45.84,wait,,,2025-03-17,8.58,2025-04-14,8.95,4.3124,4.6784,-19.5804,14.3357,-3.9177,5.06
RCEL,2025-03-17,3229,1,,0,,,,,neutral,neutral,47,2.5,69,71,mixed,-3.7,,,,-3.4,-37.65,35.3,wait,,,2025-03-18,9.0,2025-04-15,9.23,2.5556,2.2148,-23.3333,9.0,-4.5278,5.1
LDOS,2019-05-06,3158,1,,0,,,,,neutral,neutral,54,-2.9,64,71,weak,-5.9,,,,1.87,-14.98,16.78,wait,,,2019-05-07,66.774278,2019-06-05,70.865501,6.1269,5.4109,-0.7607,7.2681,-2.478,5.49
LDOS,2019-05-07,3159,1,,0,short,speculative,WEAK SHORT,23.2,bearish,bearish,48,-10.0,85,100,weak,-5.8,0.56,18.81,0.03,-0.56,-14.95,18.81,avoid_or_exit,,,2019-05-08,66.620082,2019-06-06,71.391602,7.1623,7.0311,-0.5311,7.5164,-0.9495,5.6
LDOS,2019-05-08,3160,1,,0,,,,,neutral,neutral,46,-11.9,91,79,weak,-5.8,,,,-0.37,-14.34,18.36,wait,,,2019-05-09,66.828742,2019-06-07,72.044762,7.8051,7.0783,-0.8416,8.1444,0.8485,5.48
LDOS,2019-05-09,3161,1,,0,,,,,neutral,neutral,47,-10.7,87,79,weak,-5.8,,,,-0.37,-14.34,18.36,wait,,,2019-05-10,67.690497,2019-06-10,71.817993,6.0976,5.5319,-2.104,7.2099,1.1729,5.07
LDOS,2019-05-10,3162,1,,1,short,speculative,WEAK SHORT,30.6,bearish,bearish,45,-12.5,91,100,weak,-8.1,1.65,18.36,0.09,-1.65,-14.95,18.36,avoid_or_exit,,,2019-05-13,67.318583,2019-06-11,71.055977,5.5518,3.7758,-1.5631,7.8022,2.2944,5.09
LDOS,2019-05-13,3163,1,,0,short,speculative,WEAK SHORT,28.3,bearish,bearish,45,-12.1,91,100,weak,-8.1,0.89,18.36,0.05,-0.89,-13.43,18.36,avoid_or_exit,,,2019-05-14,67.037359,2019-06-12,71.890549,7.2395,7.4285,-1.1502,8.2544,2.2696,5.04
LDOS,2022-06-06,3936,1,,1,short,speculative,WEAK SHORT,37.7,bearish,bearish,37,-20.1,91,100,weak,-10.4,3.02,16.1,0.19,-3.02,-17.34,16.1,avoid_or_exit,,,2022-06-07,98.401554,2022-07-07,96.608551,-1.8221,-3.8057,-11.2995,3.4014,-4.2709,6.15
LDOS,2022-06-07,3937,1,,1,short,speculative,WEAK SHORT,37.1,bearish,bearish,37,-19.5,91,100,weak,-11.1,3.11,17.08,0.18,-3.11,-21.93,17.08,avoid_or_exit,,,2022-06-08,100.999547,2022-07-08,96.713249,-4.2439,-4.7358,-13.5811,0.0282,-5.6969,6.14
LDOS,2022-06-08,3938,1,,1,short,speculative,WEAK SHORT,39.2,bearish,bearish,39,-18.1,91,100,weak,-11.1,3.81,16.58,0.23,-3.81,-20.11,16.58,avoid_or_exit,,,2022-06-09,98.742877,2022-07-11,96.304031,-2.4699,-2.254,-11.6061,0.4417,-5.7288,6.16
LDOS,2022-06-09,3939,1,,0,short,speculative,WEAK SHORT,29.6,bearish,bearish,44,-13.3,91,100,weak,-9.1,1.12,18.21,0.06,-1.12,-21.39,18.21,avoid_or_exit,,,2022-06-10,96.476756,2022-07-12,94.981277,-1.5501,-2.5841,-9.5298,1.3597,-3.1415,6.1
LDOS,2022-06-10,3940,1,,0,,,,,neutral,neutral,48,-8.7,81,79,weak,-9.1,,,,-0.11,-20.11,21.45,wait,,,2022-06-13,94.134752,2022-07-13,94.200966,0.0703,-1.3604,-7.279,3.8815,0.1623,6.09
LDOS,2022-06-13,3941,1,,0,,,,,neutral,neutral,50,-6.7,75,100,weak,-9.1,,,,-0.42,-16.61,20.38,wait,,,2022-06-14,94.048707,2022-07-14,93.458694,-0.6273,-0.838,-7.1942,3.9765,0.7145,6.08
LDOS,2025-03-10,4627,1,,1,long,speculative,WEAK BUY,34.0,bullish,bullish,63,7.4,83,100,mixed,-2.4,2.55,11.69,0.22,2.55,-11.69,23.09,consider_buying,-4.6,10.2,2025-03-11,134.470669,2025-04-08,131.619812,-2.1201,-2.6331,-5.8192,5.6598,-10.9808,7.01
LDOS,2025-03-11,4628,1,,1,long,speculative,WEAK BUY,46.7,bullish,bullish,68,12.2,95,100,mixed,-2.1,3.85,11.18,0.34,3.85,-11.18,23.04,consider_buying,-4.1,10.1,2025-03-12,131.705712,2025-04-09,137.906693,4.7082,4.5052,-3.842,7.878,-2.1167,7.04
